epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1765,2.29396,3.70245,1.09701,0.00278,0.05747,0.00465,0.00125,3.25343,4.02452,1.07438,0.00018,0.00018,0.08218
2,86.5336,2.26597,2.86035,1.13764,0.0618,0.18643,0.05436,0.02458,2.55788,3.5578,1.07919,0.00036996,0.00036996,0.06337
3,131.538,2.21556,2.49648,1.10274,0.04848,0.42622,0.11732,0.05339,2.38909,3.18832,1.04409,0.000559757,0.000559757,0.0445598
4,173.123,2.26839,2.47129,1.11388,0.28111,0.13337,0.21271,0.09541,2.12926,2.67368,1.03979,0.000749267,0.000749267,0.0257493
5,213.077,2.07926,2.34757,1.12067,0.26661,0.21761,0.22396,0.09956,2.15536,2.52579,1.04696,0.000938368,0.000938368,0.00693837
6,254.339,2.17512,2.35718,1.09683,0.29231,0.26448,0.24511,0.11926,2.14414,2.3481,1.05957,0.000997288,0.000997288,0.000997288
7,302.122,2.11277,2.21961,1.13003,0.5248,0.26918,0.24277,0.12138,2.14099,2.2522,1.07752,0.000996097,0.000996097,0.000996097
8,347.331,2.11021,2.32429,1.11438,0.54335,0.28702,0.28643,0.14631,2.12677,2.16618,1.09339,0.00099469,0.00099469,0.00099469
9,392.093,2.10005,2.0954,1.08849,0.55226,0.31407,0.31598,0.15604,2.1054,2.09278,1.0792,0.000993068,0.000993068,0.000993068
10,437.383,1.98639,2.11988,1.09863,0.57531,0.34773,0.34254,0.166,2.06975,2.03325,1.06629,0.000991232,0.000991232,0.000991232
11,482.42,2.13867,2.14203,1.11335,0.7069,0.32588,0.36991,0.18643,2.04886,1.9446,1.06888,0.000989183,0.000989183,0.000989183
12,532.673,2.10429,2.02964,1.09714,0.64659,0.35337,0.38005,0.19261,2.05058,1.91341,1.04706,0.000986922,0.000986922,0.000986922
13,580.77,1.9994,1.98393,1.02347,0.67566,0.33911,0.38972,0.1844,2.13999,1.93749,1.02352,0.000984449,0.000984449,0.000984449
14,626.744,2.08985,2.01024,1.04576,0.63688,0.3411,0.38652,0.19608,2.10233,1.88109,1.02961,0.000981765,0.000981765,0.000981765
15,678.281,2.06703,1.94017,1.07447,0.59453,0.39845,0.38758,0.20094,2.09628,1.87584,1.04028,0.000978873,0.000978873,0.000978873
16,715.367,2.03039,1.86347,1.05043,0.60389,0.42631,0.38691,0.2078,2.08075,1.84546,1.05226,0.000975773,0.000975773,0.000975773
17,752.452,1.98394,1.81931,1.05003,0.61831,0.44151,0.41807,0.21935,2.11291,1.819,1.04895,0.000972466,0.000972466,0.000972466
18,792.86,2.00151,1.82017,1.04966,0.66361,0.43825,0.44932,0.22645,2.05355,1.7804,1.05442,0.000968955,0.000968955,0.000968955
19,834.483,1.8785,1.72249,1.0255,0.66351,0.47621,0.50228,0.2682,2.02415,1.7635,1.06228,0.000965239,0.000965239,0.000965239
20,875.526,2.00829,1.7338,1.09308,0.67727,0.46009,0.48193,0.23893,1.97394,1.69067,1.05081,0.000961322,0.000961322,0.000961322
21,918.093,1.95702,1.71436,1.04309,0.73992,0.48191,0.53232,0.27442,1.93405,1.64843,1.03095,0.000957205,0.000957205,0.000957205
22,963.74,1.92459,1.74276,1.04613,0.73421,0.44841,0.47974,0.24082,1.98403,1.6636,1.02586,0.000952889,0.000952889,0.000952889
23,1017.75,1.91255,1.70474,1.04598,0.68113,0.44113,0.44325,0.22982,2.02387,1.68803,1.03362,0.000948377,0.000948377,0.000948377
24,1083.57,1.83176,1.63057,1.03296,0.68979,0.46155,0.46445,0.2459,1.99732,1.67609,1.03872,0.000943671,0.000943671,0.000943671
25,1137.06,1.96443,1.62008,1.0451,0.6678,0.47985,0.48869,0.26134,2.0154,1.67318,1.03372,0.000938772,0.000938772,0.000938772
26,1195.8,1.91855,1.63439,1.03135,0.66039,0.48478,0.50785,0.27112,2.01999,1.66863,1.02844,0.000933683,0.000933683,0.000933683
27,1265.15,1.8412,1.601,1.03256,0.72816,0.46014,0.48581,0.23899,2.0069,1.68267,1.02786,0.000928405,0.000928405,0.000928405
28,1329.45,1.84616,1.51806,1.03454,0.73613,0.4737,0.4894,0.24142,1.97556,1.61305,1.04192,0.000922942,0.000922942,0.000922942
29,1388.42,1.88969,1.52951,1.02278,0.76047,0.48307,0.49456,0.23284,1.95415,1.59332,1.02305,0.000917296,0.000917296,0.000917296
