epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0212,2.53114,3.75262,1.05587,0.00296,0.04969,0.01017,0.00299,2.76001,3.82554,1.18861,0.0006,0.0006,0.0886
2,32.7699,2.45286,2.79815,1.08715,0.07413,0.32173,0.16429,0.05055,2.54445,3.64743,1.19341,0.00122247,0.00122247,0.0762225
3,48.1366,2.45731,2.56679,1.12316,0.04366,0.42487,0.22304,0.09699,2.26131,3.32626,1.15338,0.00173671,0.00173671,0.0637367
4,63.2132,2.42837,2.30734,1.15148,0.61788,0.15569,0.22717,0.10083,2.38909,2.72577,1.2482,0.00207698,0.00207698,0.051077
5,86.9409,2.4517,2.42587,1.14036,0.32108,0.17844,0.24287,0.09863,2.44123,2.64486,1.26967,0.00220498,0.00220498,0.038205
6,116.573,2.44574,2.19414,1.09018,0.33521,0.19479,0.27782,0.10803,2.25769,2.47863,1.21611,0.0021175,0.0021175,0.0251175
7,145.319,2.31878,2.17656,1.08916,0.49845,0.27126,0.31431,0.12544,2.16431,2.25972,1.21543,0.00184924,0.00184924,0.0118492
8,172.517,2.3619,2.15382,1.1043,0.50997,0.2978,0.32818,0.13229,2.16248,2.0922,1.21062,0.00142748,0.00142748,0.00142748
9,196.572,2.3454,2.03193,1.1082,0.50997,0.2978,0.32818,0.13229,2.16248,2.0922,1.21062,0.000929712,0.000929712,0.000929712
10,213.502,2.32724,2.03841,1.08538,0.53249,0.31619,0.328,0.13046,2.20326,1.99148,1.2147,0.000610123,0.000610123,0.000610123
