epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.679,2.3374,3.97448,1.1113,0.00215,0.03602,0.00556,0.00118,2.69179,3.93062,1.17304,0.00012,0.00012,0.08812
2,36.6851,2.40089,3.13462,1.10059,0.0037,0.06211,0.00651,0.00192,2.64855,3.71527,1.14109,0.000249756,0.000249756,0.0752498
3,61.5624,2.41117,2.8271,1.03088,0.08444,0.14388,0.0702,0.02486,2.50466,3.60427,1.07365,0.000378517,0.000378517,0.0623785
4,93.0364,2.385,2.70123,1.06549,0.06206,0.23872,0.10728,0.02967,2.73615,3.43365,1.18557,0.000505528,0.000505528,0.0495055
5,122.192,2.33663,2.50481,1.05784,0.06669,0.41938,0.19988,0.06148,2.2739,2.99632,1.15347,0.000630047,0.000630047,0.03663
6,151.057,2.29931,2.36822,1.05905,0.35852,0.14989,0.26788,0.09779,2.17706,2.68877,1.1591,0.000751345,0.000751345,0.0237513
7,181.797,2.34012,2.22867,1.07455,0.29333,0.21879,0.25323,0.10528,2.10895,2.46788,1.15684,0.000868715,0.000868715,0.0108687
8,213.481,2.32606,2.2988,1.06052,0.27917,0.25505,0.24236,0.11813,2.13987,2.27028,1.18927,0.000952889,0.000952889,0.000952889
9,243.027,2.2964,2.26734,1.0553,0.27917,0.25505,0.24236,0.11813,2.13987,2.27028,1.18927,0.000938772,0.000938772,0.000938772
10,273.528,2.25289,2.07623,1.04831,0.4961,0.2616,0.25234,0.13558,2.18674,2.13034,1.24429,0.000922942,0.000922942,0.000922942
11,306.203,2.16319,2.14351,1.04284,0.59251,0.22799,0.27763,0.1463,2.11392,2.08109,1.2193,0.000905463,0.000905463,0.000905463
12,331.483,2.32128,2.03961,1.03276,0.38647,0.30563,0.31676,0.16163,2.124,2.06965,1.19044,0.000886404,0.000886404,0.000886404
13,362.111,2.30114,2.11022,1.01881,0.35553,0.31982,0.32876,0.17702,2.17031,2.03675,1.17465,0.000865839,0.000865839,0.000865839
14,391.131,2.12915,2.19485,1.03703,0.58901,0.33035,0.35452,0.18472,2.1188,1.98569,1.15846,0.000843851,0.000843851,0.000843851
15,420.53,2.32575,2.12403,1.02225,0.58901,0.33035,0.35452,0.18472,2.1188,1.98569,1.15846,0.000820525,0.000820525,0.000820525
16,448.972,2.16967,2.03447,1.03293,0.79583,0.37202,0.37167,0.19767,2.05623,1.92607,1.13776,0.000795954,0.000795954,0.000795954
17,478.312,2.14804,2.00593,1.01762,0.75164,0.33483,0.37116,0.19865,2.03123,1.88191,1.12717,0.000770234,0.000770234,0.000770234
18,507.51,2.08188,1.92511,1.04246,0.71438,0.34674,0.36953,0.19592,2.09075,1.8642,1.11828,0.000743468,0.000743468,0.000743468
19,535.597,2.10741,1.88434,1.03227,0.74562,0.34175,0.38156,0.19882,2.02223,1.80752,1.12095,0.000715761,0.000715761,0.000715761
20,567.385,2.17166,1.8919,1.01218,0.74562,0.34175,0.38156,0.19882,2.02223,1.80752,1.12095,0.000687222,0.000687222,0.000687222
21,597.541,2.18012,1.94656,1.00079,0.80604,0.33511,0.39231,0.20447,1.99757,1.76958,1.11819,0.000657963,0.000657963,0.000657963
